"source_id","nombre","categoria","marca","modelo","descripcion","precio","stock","imagen_url","activo"
"ZT-INV-6390B81DE3F484840837","CABLE HDMI 3MTS","ACCESORIOS COMPUTADORES","","","","20000","6","","1"
"ZT-INV-FDD263988AC0557E6704","CABLE HDMI 5 METROS","INTERNET","","","","25000","1","","1"
"ZT-INV-7C70608312F3F0A2E3C2","CABLE HDMI 5 MTS","CABLES","","","","25000","1","","1"
"ZT-INV-C3662E5303C0273D2F45","CABLE IMPRESORA 1.5","ACCESORIOS COMPUTADORES","","","","15000","5","","1"
"ZT-INV-5D665B7EFF57F63CFF9A","CABLE INTERNET 15 MTS","CABLES","","","","38000","3","","1"
"ZT-INV-76095EEE692D8F8B787B","CABLE INTERNET 3 MTS","CABLES","","","","15000","2","","1"
"ZT-INV-411E472436481C75FB54","CABLE IPHONE 60W","CABLES","","","","35000","17","","1"
"ZT-INV-93FFB7FDC2485BB8D834","CABLE JACK C-3.5","ACCESORIOS","","","","20000","1","","1"
"ZT-INV-77D5D66BED495CF4FC91","CABLE MOVISUN C-C 2 METROS IC-15","MOVISUN","","","","25000","10","","1"
"ZT-INV-4C753C6323B68BC1788A","CABLE MOVISUN C-C 240W","MOVISUN","","","","35000","8","","1"
"ZT-INV-826FEF8931997AD4B0D4","CABLE MOVISUN C-C 3.5 Z26","MOVISUN","","","","12000","14","","1"
"ZT-INV-69FD799E459EA563789F","CABLE MOVISUN C-C 60W Z36","MOVISUN","","","","20000","14","","1"
"ZT-INV-2FD0DDB5C3E19DEC20C2","CABLE MOVISUN C-C 60W Z46","MOVISUN","","","","25000","10","","1"
"ZT-INV-1BB1F38AA416A85B3B0F","CABLE MOVISUN C-C 67W Z66","MOVISUN","","","","30000","9","","1"
"ZT-INV-4B351FF42B493E3403EA","CABLE MOVISUN C-C IC-15","MOVISUN","","","","20000","8","","1"
"ZT-INV-8D0C1E2BE8048B26FD0E","CABLE MOVISUN C-IP 27W Z48","MOVISUN","","","","25000","14","","1"
"ZT-INV-12900C8AE519F07AAB61","CABLE MOVISUN C-IPH 2 METROS IC-10","MOVISUN","","","","25000","5","","1"
"ZT-INV-1ADCA98893C1674BEBF1","CABLE MOVISUN C-IPH IC-10","MOVISUN","","","","20000","26","","1"
"ZT-INV-7D0231CF9A490B8C6145","CABLE MOVISUN C-IPH Z38","MOVISUN","","","","20000","12","","1"
"ZT-INV-FDB4C375F5B6043702C2","CABLE MOVISUN USB A C Z42","MOVISUN","","","","20000","9","","1"
"ZT-INV-74A6EA117883142A87CC","CABLE MOVISUN USB C Z32","MOVISUN","","","","15000","15","","1"
"ZT-INV-DFFFD3B7726F128F617A","CABLE MOVISUN USB-C 120W ZK-15","MOVISUN","","","","30000","6","","1"
"ZT-INV-3A4546EC04796FDFA312","CABLE MOVISUN USB-C 2 METROS Z202","MOVISUN","","","","20000","7","","1"
"ZT-INV-29A68A85FA0C6BC887EA","CABLE MOVISUN USB-C Z62","MOVISUN","","","","25000","9","","1"
"ZT-INV-F79313FE2E6D389422FE","CABLE MOVISUN V8 Z20","MOVISUN","","","","12000","9","","1"
"ZT-INV-386C29AC4DEF012C4123","CABLE ORIGINAL IPHONE C-C","CABLES","","","","70000","3","","1"
"ZT-INV-5E6DA128E2B3D3CDC707","CABLE ORIGINAL IPHONE C-LIGHTNING","CABLES","","","","70000","11","","1"
"ZT-INV-6447909D71586C4617AA","CABLE USB C 6A DATA 801","CABLES","","","","20000","2","","1"
"ZT-INV-D3B9EFCC8C657083817D","CABLE VGA 1.5","INTERNET","","","","20000","0","","1"
"ZT-INV-638CF580116640A39F64","CABLE VIDVIE 60W 2MTS 4038","VIDVIE","","","","30000","6","","1"
