source_id,nombre,categoria,marca,modelo,descripcion,precio,stock,imagen_url,activo
PREVIEW-5E70951708DF04B8,BLUETOOTH MOVISUN T4 BLANCO,MOVISUN,,,,68000,1,,1
PREVIEW-10BAA9DB68E3ACD8,BLUETOOTH MOVISUN T4 LILA,MOVISUN,,,,68000,1,,1
PREVIEW-CED12955BA5EEB9A,BLUETOOTH MOVISUN T4 ROSA,MOVISUN,,,,68000,2,,1
PREVIEW-B5A8648D18AC778A,BLUETOOTH MOVISUN T5 BLANCO,MOVISUN,,,,75000,2,,1
PREVIEW-AD00270E002B0865,BLUETOOTH MOVISUN T5 LILA,MOVISUN,,,,75000,1,,1
PREVIEW-2CD8F8E03829B298,BLUETOOTH MOVISUN T5 ROSA,MOVISUN,,,,75000,2,,1
PREVIEW-FFE4CD38F8E9E98C,BLUETOOTH MOVISUN T6 BLANCO,MOVISUN,,,,95000,1,,1
PREVIEW-3253098A910AC0E9,BLUETOOTH MOVISUN T6 MORADO,MOVISUN,,,,95000,1,,1
PREVIEW-35019D0852237E46,BLUETOOTH MOVISUN T6 NEGRO,MOVISUN,,,,95000,1,,1
PREVIEW-AC036FA315821C16,BLUETOOTH MOVISUN T6 ROSADO,MOVISUN,,,,95000,1,,1
PREVIEW-6A6131BE5871B04E,BLUETOOTH MOVISUN T6 VERDE,MOVISUN,,,,95000,1,,1
PREVIEW-72791265B9E4A0DF,BLUETOOTH MOVISUN TW1 BLANCO,MOVISUN,,,,85000,3,,1
PREVIEW-147FC1805E18A069,BLUETOOTH MOVISUN TW1 NEGRO,MOVISUN,,,,85000,3,,1
PREVIEW-C969F970D3FF54FB,BLUETOOTH MOVISUN W1 AZUL,MOVISUN,,,,68000,2,,1
PREVIEW-EBA018768A39DD86,BLUETOOTH MOVISUN W1 LILA,MOVISUN,,,,68000,2,,1
PREVIEW-9B6E5D732525EC4E,BLUETOOTH MOVISUN W1 NEGRO,MOVISUN,,,,68000,3,,1
PREVIEW-4AA02DD972220A78,BLUETOOTH MOVISUN W1 ROSA,MOVISUN,,,,68000,1,,1
PREVIEW-DAC9B77D6ACC8F09,BLUETOOTH REDMI BUDS 6 PLAY ROSA,XIAOMI,,,,90000,0,,1
PREVIEW-EC0B66BF4F846E67,BLUETOOTH SOUNDCORE P25I,BLUETOOTH,,,,95000,2,,1
PREVIEW-F8D448E096314D06,BLUETOOTH T5 MOVISUN NEGRO,MOVISUN,,,,68000,10,,1
PREVIEW-B3D4621539F5E73A,BLUETOOTH VIDVIE BT8002,VIDVIE,,,,105000,2,,1
PREVIEW-ADF155DE11778182,BLUETOOTH VIDVIE BT8003,VIDVIE,,,,105000,2,,1
PREVIEW-A1295E1CB7BDBD47,BLUETOOTH VIDVIE BT861,VIDVIE,,,,110000,2,,1
PREVIEW-34BD724A2B48C3CB,BLUETOOTH VIDVIE BT866,VIDVIE,,,,110000,2,,1
PREVIEW-1C7B10D9EB7666E8,BLUETOOTH VIDVIE VS W02,VIDVIE,,,,75000,3,,1
PREVIEW-11932F1F59D03349,BLUETOOTH VIDVIE VS W03,VIDVIE,,,,75000,3,,1
PREVIEW-2332DDC031019837,BLUETOOTH VIDVIE W16,VIDVIE,,,,95000,2,,1
PREVIEW-81BD59A2925FBC5B,BLUETOOTH VIDVIE W17,VIDVIE,,,,95000,2,,1
PREVIEW-FF1356F6360456A6,CABEZA EPIK 20W,EPIK,,,,35000,5,,1
PREVIEW-9989F63EAC1328BF,CABEZA IPHONE 20W,CARGADORES,,,,50000,5,,1
PREVIEW-7B3444BC09BAD992,CABEZA MOVISUN 20W IP-15,MOVISUN,,,,40000,17,,1
PREVIEW-45F99B098090402E,CABEZA ORIGINAL IPHONE 20W,CARGADORES,,,,100000,1,,1
PREVIEW-617BA98F50B921EE,CABEZA ORIGINAL IPHONE 40W,CARGADORES,,,,180000,2,,1
PREVIEW-3CB4244AD9BEEB8A,CABEZA ORIGINAL SAMSUNG 25W,CARGADORES,,,,70000,4,,1
PREVIEW-351E27993C415A39,CABEZA SAMSUNG 25W,CARGADORES,,,,40000,10,,1
PREVIEW-302C3B308CB229F9,CABEZA SAMSUNG 45W,CARGADORES,,,,50000,6,,1
PREVIEW-B36E2E97BB58F3B8,CABEZA SAMSUNG 45W 1.1,CARGADORES,,,,60000,3,,1
PREVIEW-437382CCEE53F383,CABEZA VIDVIE 20W PLM370,VIDVIE,,,,28000,17,,1
PREVIEW-2902A4E3F7FF1549,CABEZA VIDVIE 20W PLM373,VIDVIE,,,,30000,8,,1
PREVIEW-F59B4C6F0599382E,CABLE ASPOR 6A USB IPH,CABLES,,,,20000,7,,1
PREVIEW-4DE8660AC51E76D0,CABLE AUXILIAR 3.5 MOVISUN ZCA 1,MOVISUN,,,,15000,8,,1
PREVIEW-FBB5D977A79E268F,CABLE EPIK C C 100W,EPIK,,,,25000,9,,1
PREVIEW-31AB8767D14432E9,CABLE EPIK C C FLEX 100W,EPIK,,,,25000,6,,1
PREVIEW-DFAB01EB62101D96,CABLE EPIK C-C PD 20W,EPIK,,,,25000,7,,1
PREVIEW-2B7B2A9AE2C57461,CABLE EPIK TRI LINK PRO,EPIK,,,,30000,6,,1
PREVIEW-D72EC43CF84C68E4,CABLE EPIK USB-C 5A,EPIK,,,,20000,14,,1
PREVIEW-98343BDD683A48A1,CABLE HDMI 1.5,ACCESORIOS COMPUTADORES,,,,15000,0,,1
PREVIEW-D5898AF2B1DD1FD2,CABLE HDMI 1.5 METROS,INTERNET,,,,15000,1,,1
PREVIEW-4AFC28120AB372FE,CABLE HDMI 2 METROS,INTERNET,,,,25000,0,,1
PREVIEW-B0AB8B148488B7EB,CABLE HDMI 3MTS,ACCESORIOS COMPUTADORES,,,,20000,6,,1
PREVIEW-12374AEB57D1AEB2,CABLE HDMI 5 METROS,INTERNET,,,,25000,1,,1
PREVIEW-C65AE69006572CD9,CABLE HDMI 5 MTS,PENDIENTE_REVISION,,,,25000,1,,1
PREVIEW-B79BA409D865E9AB,CABLE IMPRESORA 1.5,ACCESORIOS COMPUTADORES,,,,15000,5,,1
PREVIEW-11D16AFC0E8E4D3C,CABLE INTERNET 15 MTS,CABLES,,,,38000,3,,1
PREVIEW-6930C546DA66FE55,CABLE INTERNET 3 MTS,CABLES,,,,15000,2,,1
PREVIEW-62A5051786834347,CABLE IPHONE 60W,CABLES,,,,35000,17,,1
PREVIEW-88F62452EA949233,CABLE JACK C-3.5,ACCESORIOS,,,,20000,1,,1
PREVIEW-35832CB87BFE66B1,CABLE MOVISUN C-C 2 METROS IC-15,MOVISUN,,,,25000,10,,1
PREVIEW-CF469B33469A2929,CABLE MOVISUN C-C 240W,MOVISUN,,,,35000,8,,1
PREVIEW-4313FB904E94FA04,CABLE MOVISUN C-C 3.5 Z26,MOVISUN,,,,12000,14,,1
PREVIEW-F61A9F87CB0C4FF8,CABLE MOVISUN C-C 60W Z36,MOVISUN,,,,20000,14,,1
PREVIEW-C8A7AB879DA0E741,CABLE MOVISUN C-C 60W Z46,MOVISUN,,,,25000,10,,1
PREVIEW-6E179D4863838702,CABLE MOVISUN C-C 67W Z66,MOVISUN,,,,30000,9,,1
PREVIEW-49EC7543E0DD48F4,CABLE MOVISUN C-C IC-15,MOVISUN,,,,20000,8,,1
PREVIEW-90CF8FBCF026CC95,CABLE MOVISUN C-IP 27W Z48,MOVISUN,,,,25000,14,,1
PREVIEW-196179D8577A5B67,CABLE MOVISUN C-IPH 2 METROS IC-10,MOVISUN,,,,25000,5,,1
PREVIEW-7DC553233B91E1EA,CABLE MOVISUN C-IPH IC-10,MOVISUN,,,,20000,26,,1
PREVIEW-71CA21FD54A2E30B,CABLE MOVISUN C-IPH Z38,MOVISUN,,,,20000,12,,1
PREVIEW-2B72B566806FEBAA,CABLE MOVISUN USB A C Z42,MOVISUN,,,,20000,9,,1
PREVIEW-F5F96B6E79C72B41,CABLE MOVISUN USB C Z32,MOVISUN,,,,15000,15,,1
PREVIEW-50B82E3505A1F31C,CABLE MOVISUN USB-C 120W ZK-15,MOVISUN,,,,30000,6,,1
PREVIEW-483F1387C807C19D,CABLE MOVISUN USB-C 2 METROS Z202,MOVISUN,,,,20000,7,,1
PREVIEW-D3AA4B8ACB49B441,CABLE MOVISUN USB-C Z62,MOVISUN,,,,25000,9,,1
PREVIEW-374C59AE28386E44,CABLE MOVISUN V8 Z20,MOVISUN,,,,12000,9,,1
PREVIEW-B3EA7CA515B1718F,CABLE ORIGINAL IPHONE C-C,CABLES,,,,70000,3,,1
PREVIEW-8EC7A360EFFACEFE,CABLE ORIGINAL IPHONE C-LIGHTNING,CABLES,,,,70000,11,,1
PREVIEW-711BF9EAF33F60C4,CABLE USB C 6A DATA 801,CABLES,,,,20000,2,,1
